address,blockHash,blockNumber,transactionHash,data,timestamp,commitment,leafIndex,event,msg.sender,relayer,to,nullifierHash,fee
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xc54a49880f8c26a93657d0862fe2f1a0abde5599a47b8946d1eb469bc9849b14,12164454,0xcd598b9a2adb3c301cea8522f06faa2c1a79749b6af7dd51c9ba74e5f4352c9e,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006067ee20,1617423904,b'\x1b\xe7\x02\x16#\x9b\x87-\x12\xfcQ\xd2\x80[\xbd\xe3\x95w4\xe9\x10-\xe7P\xfc\x86\xfa\xb7\xe6\xb5\xa9\xb6',0.0,Deposit,0xbBCe49bEDd3E35334352A34e4Fabb4cd2C7c4449,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xdf68936bf82da4249b721d30b3bd90bdcfd86315bb54c8f4f458a661dde6ae5b,12171665,0x6bd19a161dd0781238b2cbc3726ce7444e027cf0beb1a0d28cfdecca0dc2440d,0x000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000606964f4,1617519860,b'*\xda}\xa9j\x81]\xe3\xb2\xb8\xdc\x19\xda\xa4H\xf7\xe7z\xa9\x814\x08g\x1f\xb6\xa3o\xaa\x95|\xc2m',1.0,Deposit,0xc3d50eeD26a547963bD098AadA70D8782e90a6DC,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0x4184881509a8f322db7c65a36a17cba0b80ece4bcd36dfc223119a51268a8a09,12171964,0xd0a1d4c32f87d6209f24d7b95a36c2b0ebb340d59623d53d9235e81c95237aad,0x000000000000000000000000a133dad2302211a95768fc3640625ac40c8f01ff2a34ec161e8f7d368fafbb4b34a8c6b315983fd4428fa03c1b5b9fac575508bc00000000000000000000000000000000000000000000000745bcda53b67bd35c,1617523658,,,Withdrawal,0x2ca1a9D6c79367EA1eA481FC0A5e8C5BD6C62d25,0x2ca1a9D6c79367EA1eA481FC0A5e8C5BD6C62d25,0xa133dad2302211a95768FC3640625AC40c8f01ff,b'*4\xec\x16\x1e\x8f}6\x8f\xaf\xbbK4\xa8\xc6\xb3\x15\x98?\xd4B\x8f\xa0<\x1b[\x9f\xacWU\x08\xbc',134152339853284201308
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0x0b771f6895f43606af203ac3f0f4c8189ce0e05418dbb9cf8a03105048d13bc6,12209032,0x78229ed750c840b8bc1bfc862d5b857691c21d12487309541bef58d5b9b815c4,0x0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000006070f7a2,1618016162,"b'&\xf0S\xd8\xd2z\x83%\xe3\xf6\x01\xb6ph\xb6-e\xf5\x8c5\xde@b,\xfe\x04\x86\xe9""u\x03$'",2.0,Deposit,0x7aF88D81298fD7471405cF6Ec8D06148F5cF5964,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xdb6eec6d1082bbc4e7c3b7dde973d76c0172e4b731e6c7f99e2f154587a6eb5e,12227736,0xc76066b828e949989c96720cc8620810147c686a0ca2863d85da7aef1fd0d55b,0x0000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000006074bc19,1618263065,"b'\x0b\x16L\xdb\t\x9c\xbcT\x196\x91\x04\xdf\x88B,4@n\xc2\xe9)L\xf9\xde\x8cF\xf3\xbbK\xd2T'",3.0,Deposit,0x7C60ce42ab6071121d422337820C89A0B89BD083,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xa2dfaf9308372db310135defdc9403bcf3f75841a5778cc303d1d34f64b64d11,12234727,0x5bef9aabe8ccfc4e12b927ec149c051e388a6b5a25717d9e3ec70f04287ae36c,0x0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000006076296a,1618356586,b'$\xb5\xeb\x87!X3>g\xa5]\x1a\x02{y\\\x0b\xbagF\xa5\x8a>r\xb5B1v\xa1\xa1\xf4\xd0',4.0,Deposit,0x0e1212B04dAa889686D7e39361Ae33d9AFA8b79B,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0x5bb54643af1397ae6eba875f821352ad2988678d5ff8da69c34ef723c57ac7e8,12234748,0xc1f67b4a9217a246beb9dbaac22c0f704b6685526d29253d32e285540ca82358,0x00000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000060762a5d,1618356829,"b'\x17OT\xf0x\xfb\rr\xb4b\xe5""\x97\x8e<m\xef\xde\xe2\x1a(o\x1dO\x8fA\x15\xc7\xba\x96\xe0Z'",5.0,Deposit,0x7aF88D81298fD7471405cF6Ec8D06148F5cF5964,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xfff2239d6a4bfff1cb629ab3fe644201ec037f17f60413a4050adc9c3b4cbe28,12234807,0x1775f38fe2f3a6e143de850ee40986379c68b0bc5e3c00167b453b375f3bfefb,0x000000000000000000000000db91735ad2edbb517125850106d2530c45b70f051578aa224b3da322491ccaa7fc3f7b1ba7bda2557fa346a7ea8ce6a17c00f7c90000000000000000000000000000000000000000000000070dd5970a6eadbedb,1618357590,,,Withdrawal,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0xdB91735AD2eDbB517125850106D2530c45B70f05,"b'\x15x\xaa""K=\xa3""I\x1c\xca\xa7\xfc?{\x1b\xa7\xbd\xa2U\x7f\xa3F\xa7\xea\x8c\xe6\xa1|\x00\xf7\xc9'",130124077479561641691
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0xdd254009aba15fea79b0e04332b34aeaa2593074c99513a921ec7f4a283a7605,12235439,0x5e0813a49464a8b2a84e6f5c0adb79f0b5f16d1852078dbe0789e43d323667c1,0x00000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000060764e7b,1618366075,"b""%\x8cC\xcdV\xd5-?\xa2P\xdel\xb4\xe9\xed\xfe@\x0c|\x8b\xd3\x18\xe5>' }\xec\xe3^\\\x95""",6.0,Deposit,0xD53A2ada124a94baC0f20a0Fe8BA5Dbaf4Bb03A1,,,,
0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0x100c30bc30a4a63fab84389361251f78d27a1ff5e4e2512f02e9eb5893346aa8,12236115,0x7dafdc58b1ff047c06528e127057c6e9f377ce29f1086dd4c7e0a025a869c5a3,0x000000000000000000000000d5639efaf8dcb0a270fc17558eeeadf1c4f077241a1530f9d6cb7284df4a5b7abfa720259eca9dab1236510827631a9284060169000000000000000000000000000000000000000000000007ed6bfa4712837078,1618375337,,,Withdrawal,0xA0F0287683E820FF4211e67C03cf46a87431f4E1,0xA0F0287683E820FF4211e67C03cf46a87431f4E1,0xd5639EfAF8dCb0a270Fc17558eEeAdf1c4f07724,"b""\x1a\x150\xf9\xd6\xcbr\x84\xdfJ[z\xbf\xa7 %\x9e\xca\x9d\xab\x126Q\x08'c\x1a\x92\x84\x06\x01i""",146235251308624048248
