,blockNum,hash,from,to,value,asset
0,0xb8c4cb,0x953a14a38c2d16c95f6041674ad5fd94a02f257d12a0489399ce0d732ea176d3,0x3065130c7e9011befd64645676aa68828758342f,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,10.0,ETH
1,0xb8c4ea,0x5b10d29eb63e4281a8d12c880b15bf195b169a5f8853af328d3f886879558c94,0x3065130c7e9011befd64645676aa68828758342f,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,62.62604854255373,ETH
2,0xb8c552,0x89550fac0878f4bef96d2481af4e378a885df7c596bdcc9752789d3c40bc5385,0xc6e4df1cbbdb93fcc2aeefd3e7d7b3aa2d85f602,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.0179709,ETH
3,0xb8c864,0xcebdf4856b60958113ee9043188c31ae813b5b8c5ea341a824c5dbffca50d96e,0x0bc496c28089125d399391ae8dd494565af2415f,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.15880762,ETH
4,0xb8c928,0xe7213877efe669b736e7aa894594cd7e3d7966be857e36725e2cf4514d14cd43,0x373a8aafaeea3e551067ca307b0a2302ed37fbf0,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.16044650200790278,ETH
5,0xb8d1ae,0x29788342712bb4203ff9ef5cb10f61891f833d328189c6bb0f6758ca1d453ed5,0xf91b718c8fbb6ff229d614cb110a662d8eab33c2,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.048500619,ETH
6,0xb8d5cb,0x1c13ddafc4c3e4b015fe2dcca4bac0a2b6cf82f76f8fea04ba2ea88722872772,0x75cb43bbefae5e8f26a00697bb299cffae11cdba,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.217394952,ETH
7,0xb8d6dd,0x3fed87990bae16a758940105414d6c751e5b7d5f9ba73dcdda7e800e66a169ee,0x7403a4a3f2a583b010135a68221ad340096a26a4,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.14614546793567698,ETH
8,0xb8d9f2,0x6ff465757e6e466f775a3223a1f712ce165c70f46a523f0a1a2d52bd59bc610d,0x3e6315e33d65a9b29958865d6bb53a631626b435,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.015006552769102321,ETH
9,0xb8d9f8,0x3839170ec290dd469dfe48eface7174928e38d2cfba3fa5b37901b0c153ea0cc,0x5a139e5fd867e9d77fb88d1bee6ad53cad2f5fe1,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,2.7000765573504344,ETH
10,0xb8dbf5,0xa87352825dea8f58912f06aa4b8a33354f6913709a26937db2ef6882a5c2e82b,0x74cbc8674357e2ac4739a19b7362cd7c000fc9f7,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.334167951802945,ETH
11,0xb8deaf,0xacc8ef88ffb5c082eb467b7e7aa17c6c6f6e75f2cb1b4f30214f5b236f4a5681,0x9cbb91bc7a7c35797d08b3f5554098c97665776a,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.5099561,ETH
12,0xb8df52,0x7486109fb575705f9dfa58ab9c4d1c8ca112eb6eaafcb88d1479df93d5a25097,0xe0b72bd5c0d0408a9c6b9b605f183d09c89cebbf,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.4957496,ETH
13,0xb8e0f3,0x9e9ffc5a7af2bb9a86b760e79cfd4368a955ceda0597082fee457c1b1ecbe792,0x9c70f0ce53f06354fefe8841f6e179130a730d88,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.01096674,ETH
14,0xb8e17b,0xeee51400aa6318c2fbd67c5b0b4b5a8d4c6e64f10f524280be142a1afea6548f,0x9073d5be26069707cf18c92cc5294bb22ef27cf7,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.133703906966316,ETH
15,0xb8e299,0xfc9d99e6cfaa41c14070c3027b15b4af204f02d6ac1c41aedd5034f5602f62d6,0x9073d5be26069707cf18c92cc5294bb22ef27cf7,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.010367793,ETH
16,0xb8e431,0xed474b633602ad49b354bbfd25d2c6cf4836501fdd27f54b6a2c7134739154fc,0xba6be19574551ab6622d40f4b9794cd1e46bd274,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.542958,ETH
17,0xb8e520,0x596e6383339474e3595301cd85684705792a6ececbdff4bcc8bd7b3f4dc7010a,0x8ca37c65138f7e26f817cd0472b59a3d70fbf7be,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.1972049,ETH
18,0xb8e564,0x7c3d31cbef0a82940f14c6f02ea91a8fb718c82b991408539067ab0b3701c053,0xe237969c632fa1adfb55a0e44cd87e376c7b67c8,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,5.735544723303317,ETH
19,0xb8ed1b,0x39d2d540d5d15d8f093cab4572eabf9b6923fa68afdbdd64dc6d172d2c36c4c1,0xc1136c5297526173ee3fb565104b92c58e8b9019,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.037897899966316,ETH
20,0xb8ee90,0x370024e8aab9b84fd77c8dc0b40a00f62c18830f6f1de20cf0f7330fed14ab97,0x1d27753fc5b1c22ab3a1f1c24aad8a2c698d351c,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.0690365,ETH
21,0xb8eece,0xe529843e4c4c2fa808ebbef86124140beb7fde09d4c21b54e4a7fa8e35d6ab35,0xc5c7b64d5ce48b4033b3cb6a14d06c5604623caa,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.00428456,ETH
22,0xb8eefe,0x0d23f38f64f9569abab560800b7d987a879885e0e54d2cc9776f32375fcd97fd,0x1b711db4cf87a15d2820bc35479ab5d137bdf051,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.0380365,ETH
23,0xb8ef13,0xa53f6acdfee3130ebf16b270b4648dd8ff5829a4395b8df95e1047fd629abfac,0x7b30a1fd13bee4af9b308c7d74d3271997319dcf,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.32234839,ETH
24,0xb8ef1f,0xbd34b3c40ddb0fa82167e891630be54edecea0348c31dd0a92fd08b9359feeeb,0xaa8c91c73fa94726cd9d5e192995c5c8a987684c,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.2890365,ETH
25,0xb8ef4d,0xfabd6351e46179e257e31a04bd13d854fba8bdcb82c7ec5a5e8b82d6db706b22,0x75cb43bbefae5e8f26a00697bb299cffae11cdba,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.125359783,ETH
26,0xb8f1ea,0xcd6df5a2d493ff3e730bb2d87723947c1aa75341bbed2ca1a26addf7025bb166,0xb371f9799ec72dc90bb178eda862f9faaa172e8e,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.0798055,ETH
27,0xb8f905,0x0ff80764771b66e38284c41eb2f307ce3a869c6f023afe717a0e9ecc79f64410,0x2a0d7ef8c68ff542202e806d89ff5f453fe8b051,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.18117319,ETH
28,0xb8f91d,0x22d40faef62dcdce8758dee2e90f5e16e9da315d8f149d26d49c13e6091b274d,0x2a0d7ef8c68ff542202e806d89ff5f453fe8b051,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.02925093,ETH
29,0xb90404,0x4fb97551d8c42c09d2b23cf5b4649edc4986ccddf37434667ba144716e07dd43,0x94f8a6a3f053b4921f3a636e6b5043ea1c178a3a,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.091744359966316,ETH
30,0xb90647,0x493a171f1012feb2f59b79778ac04ec1900b96d5e4b19df53662eeabc056c7e6,0xf91b718c8fbb6ff229d614cb110a662d8eab33c2,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,0.048727900231,ETH
