address,blockHash,blockNumber,transactionHash,data,timestamp,commitment,leafIndex,event,msg.sender,relayer,to,nullifierHash,fee
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0xb867af7e9dd4da7f92c208a3f26e61418d923872bd0a874e3b6b0f576aea3779,9117802,0x4f813bc581998961bf12fa671cf5aaeb4ec24f97f90bd9995e6c648220d8fc08,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005df80f67,1576537959,"b""%@Kq\xb4)\x82\xb1'e4\xb1!I\xfb\xa4B\x13;\xff\x80\xced\x90\x7f\xcf\x89\xaa\xa6Y\x1a\xe7""",0.0,Deposit,0x0fC509F0c44b212c1342333a52Ed3ebED889290D,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x6ff632a7cb6509ceaf894bd023cdf980ac8f483471d9df7f1e0d74ad4eb81096,9117967,0x0f7f34d6143139adaa296d5e14b87123274333e73e8cd439f50940400e86de31,0x0000000000000000000000000fc509f0c44b212c1342333a52ed3ebed889290d15d64bcf3c03e70462c253cdf73e5895e71ea7ca857c0a125a3f7824687dd61c000000000000000000000000000000000000000000000000424b208fdf67e648,1576540815,,,Withdrawal,0xefAB18983029d2BA840E34698eFb67fDF8120711,0xefAB18983029d2BA840E34698eFb67fDF8120711,0x0fC509F0c44b212c1342333a52Ed3ebED889290D,b'\x15\xd6K\xcf<\x03\xe7\x04b\xc2S\xcd\xf7>X\x95\xe7\x1e\xa7\xca\x85|\n\x12Z?x$h}\xd6\x1c',4.776947632057084e+18
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x5d2c5653aff20b1c4d7c72f9af88902481dd6044ec1a27adde8d9800c29bc5d7,9121906,0x1a2b9ec7fa96a0aadf8b2cccea7000f2c950ef90674ccaf47a5d3f05d457d8bd,0x0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000005df9211c,1576608028,"b'\x1f9\xd1T\xc0H\x8d\xc3\xa2\xc2m\xef\x91\x9c\xcf\xe6y\xc2\xae\x12H\xcc\xe5,L\xd3M\x7f\xd7xh\xb3'",1.0,Deposit,0x0fC509F0c44b212c1342333a52Ed3ebED889290D,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x8598ef22278f72ee33a545fac4fdcce9c782f99d40b05bd98f9400ef0383c6f5,9123255,0xfe3fb0f9a7d18e74d9475c1728d53b61db2fcca35d2f3b24d3e32a06590d5ca1,0x0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000005df97e19,1576631833,"b""\x01\xe6 \xfbb$\xec\xc0\xe4[\x12\x1c\xc0\xde\x8f)\xbb'\xfa\xa4\xd5\xad\x9cA\xbd-\xaaF)K\xf9\x13""",2.0,Deposit,0xB435871B0959561226b4d903b1abf79528177E81,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x873c814a62b9e6759793700e64965e2f61fa837825c9e3cb35fc0d27f135eaaf,9123267,0xdff010615ee7fffc4074cbdf74893f3d88026f987ebfe67d358c614bfdef28d5,0x0000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000005df97f20,1576632096,b' d0\x94A\xcd2<3\xffB\xd3Zg\xb6\x0c4eN:\xc5\xb8\xdd.\x07\x91\xdd\xb7\xf9l_:',3.0,Deposit,0xB435871B0959561226b4d903b1abf79528177E81,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x8a18a44542d43b6cdb52555c2c38a74c6e3b0722c2b6692190a99397046ea30a,9123567,0x5e91ab0ec655a807698419082fdd243e96c014d44eefb081ffb65259d86db4a6,0x0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000005df99482,1576637570,b'\x0b\x85\x80T(\x92C\x9e\xa6\x82\x1a\x07\x964\x17\x8f\xaa0\x8a\x93\t\xbf~\xea\xdc=G\xc3\x986\x8f{',4.0,Deposit,0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x7aae607afa77f8ba0a2811a35431029bab03691c942bb9c1b65662aa4bdaa5bc,9126901,0xe0a30f59dcec95bc4e6b0eaf7ffd416d6431d7bd9b253f1ecd95eb61df7c2ff5,0x0000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000005dfa7439,1576694841,b'&k\x10^\xf3\xac|\xc2\xee\xcd\x99\xbe:\xfe\xd7\x94\x84\xf4\x90\xd4\xb7\x80\x84\xd3d(L\xfc4&\xf9\xb9',5.0,Deposit,0x6D9d708278877d474319e63b08F8B7440774D720,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0xfb026d530155d3f95f05f5866684e84ec6629eb39ef778ba037bcafdaf1efe9a,9126916,0x70e447154b8903fa65e92e055c11f0278b907beb5207fbb38a807021a79acdd9,0x00000000000000000000000090203dab360ccf254d5b127202f2d110b21f616d2e7f1cdfa44b6ea2698abcc614e9960117ea5f6968c18a8855c702bebb9650fb0000000000000000000000000000000000000000000000004a67de0e9c723f6b,1576695094,,,Withdrawal,0x0F416BC2d310A1C32bC1081cf354c15FD10d4802,0x0F416BC2d310A1C32bC1081cf354c15FD10d4802,0x90203DAb360cCF254d5b127202f2D110b21f616d,b'.\x7f\x1c\xdf\xa4Kn\xa2i\x8a\xbc\xc6\x14\xe9\x96\x01\x17\xea_ih\xc1\x8a\x88U\xc7\x02\xbe\xbb\x96P\xfb',5.361498035743506e+18
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0x3efb1154116430302aa0c5c32225d72d2d568d22ed13a5334d21d2fea0f62b96,9126939,0xa304cb287d52ed94341330c82a463bf3df7d80238035eda125ab34ab100cca21,0x0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000005dfa76ad,1576695469,b'\x1b\xe7\xf3\xd5{h\x92`o\x87FEC\x9b\xf8\x16\xb7\x9e\x1ey\xf1\xadHx\xcd\xf0X\xe5\x9a\x04\xff$',6.0,Deposit,0xB435871B0959561226b4d903b1abf79528177E81,,,,
0xD4B88Df4D29F5CedD6857912842cff3b20C8Cfa3,0xb419d1f899f76a65c8390acf9d49b5fd9cb5062a719f11df0851bc20644a6abb,9128372,0xd2bf6727343807e043b0905c4b31f6981d14a7dff96b2f9fa339100dafd3961a,0x0000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000005dfad56d,1576719725,b'\x0c\x84\xcfX\xe9\xd6~O:\x91pn\xfew\x95-F\x85\xbc\xf3|\xd1mo\xff\xfb\x0b\x8e~`\n\xee',7.0,Deposit,0x31ffbafB808C2Ce1F4c46bE208AA9BFAab0d97c5,,,,
