address,blockHash,blockNumber,transactionHash,data,timestamp,commitment,leafIndex,event,msg.sender,relayer,to,nullifierHash,fee
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0xa933556ab7ac4531f0e8fa2e8633cf41318c154c239d7778d83243eff85e22e2,9162207,0x29fc5801ec2a44a00c5130858ad6e1736444006b73d027def3cecebd7d142a35,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005e03b8e9,1577302249,b'\x1d=\x10\x83\xfc\xe6\r\xdb7\xb3*\x1d\xfa\xa8cl6ZWjjY\xc3ab\xb1\x83^Il\xaa\xe9',0.0,Deposit,0x8589427373D6D84E98730D7795D8f6f8731FDA16,,,,
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0xb2f78ac96344e12d29a085c362f2da8d052dc1b83666c60c416aa2805e7a5862,9162215,0x9c0ed7304cc50c0aa4448bfb5cce44a7d07f6764643b79d16a44fc66eff537a2,0x0000000000000000000000008589427373d6d84e98730d7795d8f6f8731fda1604c9a07cd2089cd626f13794b1eb8301ea9ec1bb1dee59742de1d56be644e78600000000000000000000000000000000000000000000000000000000003de2a8,1577302359,,,Withdrawal,0xefAB18983029d2BA840E34698eFb67fDF8120711,0xefAB18983029d2BA840E34698eFb67fDF8120711,0x8589427373D6D84E98730D7795D8f6f8731FDA16,b'\x04\xc9\xa0|\xd2\x08\x9c\xd6&\xf17\x94\xb1\xeb\x83\x01\xea\x9e\xc1\xbb\x1d\xeeYt-\xe1\xd5k\xe6D\xe7\x86',4055720.0
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x095dff4b522839dc5dea2c4aa3d24740d8509383962864f4ef4eb0852a9e4df0,9249361,0x0e44c4be3a801388473033a6d2fdab2c438547892844b84d23567e2d71dc4353,0x0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000005e17b052,1578610770,"b""\x00\x0b\xe5\xc3j\xe5\xbe5\\W^\xfc\xda\xb9L2\xcd\x94z\xa9.'n\xb6U\xf1?\x02\x03e\xda[""",1.0,Deposit,0xf334C34D5Ec25d10895707C58cF427eD0DaB0368,,,,
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x8e841212f9640e81e730576434dafb2c9d083c53c002b00fadc251782148d222,9249371,0xb02ac6626d0b2a6092cd335ea3771ea09f02b67eb44ccd36c82caea7a11181da,0x0000000000000000000000007331d2b3add4ff4c637eeb1bc8c2b27ffb23fbb504a94d21d819cab7a5bae80d0d4e9a7a234d60b9cb8ec8c13c7ad57ac4f9f045000000000000000000000000000000000000000000000000000000000051f59d,1578610875,,,Withdrawal,0x0F416BC2d310A1C32bC1081cf354c15FD10d4802,0x0F416BC2d310A1C32bC1081cf354c15FD10d4802,0x7331D2B3aDD4ff4c637eeb1Bc8c2B27ffb23fBb5,b'\x04\xa9M!\xd8\x19\xca\xb7\xa5\xba\xe8\r\rN\x9az#M`\xb9\xcb\x8e\xc8\xc1<z\xd5z\xc4\xf9\xf0E',5371293.0
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0xec752b3caddc70c08edccc2a3bc2508f1e9fd847b21e236a2cbb0753dd856cd6,9264619,0xd0e244fa859ab300d863a1443931cf527296cde17af6ef5f6c8d2a0ec7bbb039,0x0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000005e1ac32c,1578812204,b'\x01\xce\xd1\xfe\xe9E\xea\x91\x1e\xd8B\x0b\x11W\xd8\x04m\xd6t\x8e\xd7\xec\x86w\xe1\xfd*\xd4WW\xc3\xb9',2.0,Deposit,0x0F73F298e946FFafB4ACd1B18e4ba2FbC393Ad72,,,,
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0xa8f930a306a011acae60855482c156a8bbc29d8716b802a6a93d3e4cb45d8d77,9264637,0x3482517acfb55dbdd7d748d49128cdb9d29854d6e042ef6029ce3ca06d094cb9,0x000000000000000000000000b5ddda93165ca4216c5dfd57066656e6906f6cec0cf7525cda3681f38a6bfe055031d9937d924f1bec705153ef1d3efb9064d13b00000000000000000000000000000000000000000000000000000000004857b2,1578812410,,,Withdrawal,0xe0F87651D3B65641C0FE1B71C5fBE88236D4b2E6,0xe0F87651D3B65641C0FE1B71C5fBE88236D4b2E6,0xB5dddA93165ca4216C5DFD57066656e6906F6CEC,b'\x0c\xf7R\\\xda6\x81\xf3\x8ak\xfe\x05P1\xd9\x93}\x92O\x1b\xecpQS\xef\x1d>\xfb\x90d\xd1;',4741042.0
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x7258c2b70c83c819f1873bd1fbb23880a8458cdc3d812918a8fbed2fafbb2057,9264657,0x12f487bbba8c8cbc4062f28503faf941110250c13c0dfa310550dd0054833afe,0x0000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000005e1ac4ef,1578812655,b'+\x9e\xfdJ\xb9\xebG(\x1c\xa6\x984\xafw\x03\x9dl\xcf\xbbB \x1dR\x94\x87aK\xab\xe0\xe5\xa1\xa4',3.0,Deposit,0x0F73F298e946FFafB4ACd1B18e4ba2FbC393Ad72,,,,
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x38f40e115e19c996df6a0f042f7b9920a89d47bfad469e218db1bea540d08ca8,9264663,0xe926afcf3844a5806ccb7ea99759b9f4ffb3093cd969fb8ea21127de384c9470,0x000000000000000000000000b5ddda93165ca4216c5dfd57066656e6906f6cec1ee5fbdb3f6d58d51b3800854bf3dd9f0f36c81230aee67146022be196d8635e0000000000000000000000000000000000000000000000000000000000592092,1578812702,,,Withdrawal,0x7d3BB46C78b0c4949639ce34896bfD875B97aD08,0x7d3BB46C78b0c4949639ce34896bfD875B97aD08,0xB5dddA93165ca4216C5DFD57066656e6906F6CEC,b'\x1e\xe5\xfb\xdb?mX\xd5\x1b8\x00\x85K\xf3\xdd\x9f\x0f6\xc8\x120\xae\xe6qF\x02+\xe1\x96\xd8c^',5841042.0
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x76631625183de4c8be1c81d47a4f2889e96ee37928ac8342de001318116ce596,9268344,0xa77718288a25f1e38f1fa8665c73d35ae811e89ecb82d3a0b5b9ebe0e98aa5bc,0x0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000005e1b84da,1578861786,"b'""\xd2\xfd\xc0\x18\x95\x17\xa3\xce9\x94zU\xb5\x1a6\xd1\xd5\xc5\xc9\x92\x93R\x1eMd\x93w\xc7\x8cRi'",4.0,Deposit,0x152deD7E5f13547A9194cE0D0e2b2e1fe6B4fF17,,,,
0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0xc4ca7b78c51863d46ee22579d872a11924910f04aaddd046c04916454e260fd5,9268356,0x62c31ec6e76eb72ea9efd55b0631d10fe8187b588715264b335e9ddbef9bdd3d,0x000000000000000000000000dcc14fb8c9e1196fc4a983c2c6b21f216d0ac2ae2ac6a5415cd250b0a4544d2252df809d58bec80dcd9dc3874fa0a2fd8e59373c0000000000000000000000000000000000000000000000000000000000595f59,1578861956,,,Withdrawal,0x7d3BB46C78b0c4949639ce34896bfD875B97aD08,0x7d3BB46C78b0c4949639ce34896bfD875B97aD08,0xdcc14Fb8c9E1196fC4A983c2C6b21f216d0AC2Ae,"b'*\xc6\xa5A\\\xd2P\xb0\xa4TM""R\xdf\x80\x9dX\xbe\xc8\r\xcd\x9d\xc3\x87O\xa0\xa2\xfd\x8eY7<'",5857113.0
