address,blockHash,blockNumber,transactionHash,data,timestamp,commitment,leafIndex,event,msg.sender,relayer,to,nullifierHash,fee
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0x4760ede9183ad4613827ce0a80639fefdb4abf2c5967e7375a2669fe1d2fce2b,9162161,0x3695acfc3f06c897455a573f361a9fc14aa988571ca1b0543b651fb8f78e33d1,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005e03b5d9,1577301465,"b'\x026\xa8[\xbe\xe9}caR\xcd)\x9b\xec""\'\x0e\x9f\x9c\xed\xae\x99\x15\xdd\xe7>G\xd3oD\xdbt'",0.0,Deposit,0x8589427373D6D84E98730D7795D8f6f8731FDA16,,,,
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0x9e74a714540fd3f243247b6cf3a20e481f9549eb08b83c66e566a6ad6c9d6eba,9162205,0xffef65f7b4f3430d4da553734cad7cebc40b76d66680ccc8a95c46d16644a0f5,0x0000000000000000000000008589427373d6d84e98730d7795d8f6f8731fda1612ae6853cc765ee2761853c91166421be52cbd00012f904507967cb72fa0880000000000000000000000000000000000000000000000000000000004937447f9,1577302225,,,Withdrawal,0xefAB18983029d2BA840E34698eFb67fDF8120711,0xefAB18983029d2BA840E34698eFb67fDF8120711,0x8589427373D6D84E98730D7795D8f6f8731FDA16,"b'\x12\xaehS\xccv^\xe2v\x18S\xc9\x11fB\x1b\xe5,\xbd\x00\x01/\x90E\x07\x96|\xb7/\xa0\x88\x00'",19653740537.0
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0xca1bf9338601e693c80d8eb785eba004ece06a21d91dc2d279061b0e5b860801,9244987,0x374c776235b72df934650364a01ecd8ed35ef2beeab88026d8fcc6061aee7f07,0x0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000005e16cdbc,1578552764,"b'\x01\xbes\xdb`\x07\xa9y\xca\xc4\xa8)\xb5\xba\x13\xd7\xf6\xc0\x9a\x1c\xb5ty\xcb\xfbd4\xc3\x87>\xd1""'",1.0,Deposit,0x40f41c762763436d73DE1bafb11729C36Ad32a54,,,,
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0x842d8f1de3e214e2e9776c05e597e5cae1d95966724a0c890e8682fed884fbfa,9244992,0xd7fd114fa8d984811715be6780823375adaeac48761698f76ee761656a2b176c,0x00000000000000000000000040f41c762763436d73de1bafb11729c36ad32a54119c4dba27638322e42e3936dd5bf9993f24871cc331b4e8dd48b0ae54225ba70000000000000000000000000000000000000000000000000000000000000000,1578552836,,,Withdrawal,0x40f41c762763436d73DE1bafb11729C36Ad32a54,0x40f41c762763436d73DE1bafb11729C36Ad32a54,0x40f41c762763436d73DE1bafb11729C36Ad32a54,"b'\x11\x9cM\xba\'c\x83""\xe4.96\xdd[\xf9\x99?$\x87\x1c\xc31\xb4\xe8\xddH\xb0\xaeT""[\xa7'",0.0
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0x1b39374c93178365c1bdef7f751c204155d0e74d6d569eb38931e1359ebea8e1,10056154,0xf999693c980c3156ff5c8755656d550eed01a69cb82caea8be6be2ad857251bc,0x0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000005ebb91bb,1589350843,b'&\t\xde\x87\xde\xa4Oo\xab\xdbw\x07v\r\xa3\x80\x87\xb6\x7f.L\x82\xe8\xe9r\x17$\x88\xad\xbb-)',2.0,Deposit,0xA43Ce8Cc89Eff3AA5593c742fC56A30Ef2427CB0,,,,
0xaEaaC358560e11f52454D997AAFF2c5731B6f8a6,0x67e25e3b8565ea7ff61e556767056ecc493f8441fd0d5571029e966b2c97622b,10056283,0x47d626612ceb840125724ea778fc7ff8402378e28774aa6a280c23ed72a211f2,0x000000000000000000000000a43ce8cc89eff3aa5593c742fc56a30ef2427cb0205620b36de895a8884425b1e3dee216b5cb5edebf3429f41669875bcdc1ebcd0000000000000000000000000000000000000000000000000000000000000000,1589352278,,,Withdrawal,0xA43Ce8Cc89Eff3AA5593c742fC56A30Ef2427CB0,0xA43Ce8Cc89Eff3AA5593c742fC56A30Ef2427CB0,0xA43Ce8Cc89Eff3AA5593c742fC56A30Ef2427CB0,b' V \xb3m\xe8\x95\xa8\x88D%\xb1\xe3\xde\xe2\x16\xb5\xcb^\xde\xbf4)\xf4\x16i\x87[\xcd\xc1\xeb\xcd',0.0
